ISIN	CO2	CO2	ESG Score 2015	ESG Score 2016	ESG Score 2017	ESG Score 2018	ESG Score 2019	ESG Score 2020	ESG Score 2021	Green Bond Flag	ISO 14000 or EMS Certified	EMS Certified Percent													
XS1377763161	0	427,6313993	NULL	54,70830165	69,51077712	72,55511085	76,2947447	75,47719369	75,47719369	N	ISO 14000	96													
XS1505896735	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
XS0375220588	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
XS1419674525	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
DE000A1MLXN3	20,6948105	15,21323746	94,6818968	90,64936841	92,84910709	0	92,01234044	0	93,07283114	N	Both	98													
DE000A1PGQY7	20,6948105	15,21323746	94,6818968	90,64936841	92,84910709	0	92,01234044	0	93,07283114	N	Both	98													
DE000A1PGWA5	20,6948105	15,21323746	94,6818968	90,64936841	92,84910709	0	92,01234044	0	93,07283114	N	Both	98													
DE000A1R0TN7	20,6948105	15,21323746	94,6818968	90,64936841	92,84910709	0	92,01234044	0	93,07283114	N	Both	98													
DE000A1R04X6	20,6948105	15,21323746	94,6818968	90,64936841	92,84910709	0	92,01234044	0	93,07283114	N	Both	98													
DE000A1R0691	20,6948105	15,21323746	94,6818968	90,64936841	92,84910709	0	92,01234044	0	93,07283114	N	Both	98													
DE000A1TNJ97	20,6948105	15,21323746	94,6818968	90,64936841	92,84910709	0	92,01234044	0	93,07283114	N	Both	98													
DE000A1TNK86	20,6948105	15,21323746	94,6818968	90,64936841	92,84910709	0	92,01234044	0	93,07283114	N	Both	98													
DE000A1X3GC3	20,6948105	15,21323746	94,6818968	90,64936841	92,84910709	0	92,01234044	0	93,07283114	N	Both	98													
DE000A2AAL23	20,6948105	15,21323746	94,6818968	90,64936841	92,84910709	0	92,01234044	0	93,07283114	N	Both	98													
DE000A2AAL31	20,6948105	15,21323746	94,6818968	90,64936841	92,84910709	0	92,01234044	0	93,07283114	N	Both	98													
DE000A2DADM7	20,6948105	15,21323746	94,6818968	90,64936841	92,84910709	0	92,01234044	0	93,07283114	N	Both	98													
DE000A11QSB8	20,6948105	15,21323746	94,6818968	90,64936841	92,84910709	0	92,01234044	0	93,07283114	N	Both	98													
DE000A169G07	20,6948105	15,21323746	94,6818968	90,64936841	92,84910709	0	92,01234044	0	93,07283114	N	Both	98													
DE000A169G15	20,6948105	15,21323746	94,6818968	90,64936841	92,84910709	0	92,01234044	0	93,07283114	N	Both	98													
DE000A169NA6	20,6948105	15,21323746	94,6818968	90,64936841	92,84910709	0	92,01234044	0	93,07283114	N	Both	98													
DE000A169NB4	20,6948105	15,21323746	94,6818968	90,64936841	92,84910709	0	92,01234044	0	93,07283114	N	Both	98													
DE000A169NC2	20,6948105	15,21323746	94,6818968	90,64936841	92,84910709	0	92,01234044	0	93,07283114	N	Both	98													
DE000A168650	20,6948105	15,21323746	94,6818968	90,64936841	92,84910709	0	92,01234044	0	93,07283114	N	Both	98													
DE000A19EJE0	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
DE000A19HBM3	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
FR0012432904	55,58537557	46,21344821	85,54745182	87,42137981	85,69361008	85,49368533	86,5130278	84,50724083	84,50724083	N	ISO 14000	46													
FR0013216884	55,58537557	46,21344821	85,54745182	87,42137981	85,69361008	85,49368533	86,5130278	84,50724083	84,50724083	N	ISO 14000	46													
BE0002189554	92,91403547	85,28481329	54,19269498	62,47163986	62,47163986	62,47163986	62,47163986	62,47163986	62,47163986	N	No	NULL													
XS0559434351	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
DE000A0T7J03	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
XS0164831843	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
XS0452868788	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
XS0515937406	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
XS0524471355	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
XS0554975325	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
XS0632241112	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
XS0753143709	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
XS0856032213	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
XS0969368934	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
XS0988384904	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
XS1045386494	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
XS1309518998	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
XS1316420089	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
XS1372911690	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
XS1441837546	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
XS1451539487	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
XS1493724584	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
DE000A1R1BC6	7,942551497	1,830454915	63,95103433	64,33861109	0	0	71,48656134	72,75801472	75,72943874	N	No	NULL													
DE000A1RE1W1	7,942551497	1,830454915	63,95103433	64,33861109	0	0	71,48656134	72,75801472	75,72943874	N	No	NULL													
DE000A1684V3	7,942551497	1,830454915	63,95103433	64,33861109	0	0	71,48656134	72,75801472	75,72943874	N	No	NULL													
XS1109110251	0	821,6516916	NULL	65,29917516	0	71,39098327	0	76,09955373	71,49560468	N	Both	NULL													
XS0862941506	0	92,81002432	NULL	80,92205661	80,69658918	83,34354398	79,66202967	80,80382529	83,58237869	N	ISO 14000	58													
XS0862952297	0	92,81002432	NULL	80,92205661	80,69658918	83,34354398	79,66202967	80,80382529	83,58237869	N	ISO 14000	58													
XS0977496636	0	92,81002432	NULL	80,92205661	80,69658918	83,34354398	79,66202967	80,80382529	83,58237869	N	ISO 14000	58													
XS0977500767	0	92,81002432	NULL	80,92205661	80,69658918	83,34354398	79,66202967	80,80382529	83,58237869	N	ISO 14000	58													
XS1388661651	0	92,81002432	NULL	80,92205661	80,69658918	83,34354398	79,66202967	80,80382529	83,58237869	N	ISO 14000	58													
XS1388661735	0	92,81002432	NULL	80,92205661	80,69658918	83,34354398	79,66202967	80,80382529	83,58237869	N	ISO 14000	58													
XS0795872901	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
XS0795877454	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
XS0441740817	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
