ISIN	Date	Before2020
XS1622193750	2017-06-23	True
FR0011355791	2017-06-23	True
FR0011560333	2017-06-23	True
FR0011625433	2017-06-23	True
FR0012146777	2017-06-23	True
FR0012146801	2017-06-23	True
XS0456451771	2017-06-23	True
XS1363071009	2017-06-23	True
XS0995382446	2017-06-23	True
XS0428147093	2017-06-23	True
XS1048521733	2017-06-23	True
XS1048529041	2017-06-23	True
XS1135276332	2017-06-23	True
XS1135277140	2017-06-23	True
XS1292468045	2017-06-23	True
XS1292468987	2017-06-23	True
XS1292484323	2017-06-23	True
XS1411401083	2017-06-23	True
XS1411405662	2017-06-23	True
XS1476654238	2017-06-23	True
XS1476654584	2017-06-23	True
DE000A1G85B4	2017-06-23	True
DE000A1UDWM7	2017-06-23	True
DE000A1UDWN5	2017-06-23	True
XS0369461644	2017-06-23	True
XS0806449814	2017-06-23	True
XS0829183614	2017-06-23	True
XS0829190585	2017-06-23	True
XS0853682069	2017-06-23	True
XS0914294979	2017-06-23	True
XS1019326641	2017-06-23	True
XS1061410962	2017-06-23	True
XS1126183760	2017-06-23	True
XS1318709497	2017-06-23	True
XS1505573482	2017-06-23	True
XS1508588875	2017-06-23	True
XS1555402145	2017-06-23	True
FR0010199927	2017-06-23	True
XS0368361217	2017-06-23	True
XS0410937659	2017-06-23	True
XS0488101527	2017-06-23	True
BE0374557404	2017-06-23	True
XS0953958641	2017-06-23	True
XS1185941850	2017-06-23	True
XS1077088984	2017-06-23	True
XS1524573752	2017-06-23	True
FR0010745976	2017-06-23	True
FR0010780528	2017-06-23	True
FR0013173432	2017-06-23	True
DE000TLX2003	2017-06-23	True
DE000TLX2102	2017-06-23	True
XS0184373925	2017-06-23	True
XS0486101024	2017-06-23	True
XS0630463965	2017-06-23	True
XS0794393396	2017-06-23	True
XS1020952435	2017-06-23	True
XS1169832810	2017-06-23	True
XS1347748607	2017-06-23	True
XS1419869885	2017-06-23	True
XS1497606365	2017-06-23	True
XS1551678409	2017-06-23	True
XS0462999573	2017-06-23	True
XS0540187894	2017-06-23	True
XS0746276335	2017-06-23	True
XS0842214818	2017-06-23	True
XS0874864860	2017-06-23	True
XS0907289978	2017-06-23	True
XS0934042549	2017-06-23	True
XS1069430368	2017-06-23	True
XS1120892507	2017-06-23	True
XS1290729208	2017-06-23	True
XS1394764689	2017-06-23	True
XS1394777665	2017-06-23	True
XS1505554698	2017-06-23	True
XS1505554771	2017-06-23	True
XS1550951138	2017-06-23	True
XS1550951211	2017-06-23	True
XS1555704078	2017-06-23	True
XS0162869076	2017-06-23	True
XS0767278301	2017-06-23	True
XS0950055359	2017-06-23	True
XS0999667263	2017-06-23	True
XS1405762805	2017-06-23	True
XS0485616758	2017-06-23	True
XS0593606121	2017-06-23	True
XS0593606550	2017-06-23	True
XS0988014212	2017-06-23	True
XS1241581096	2017-06-23	True
XS1241581179	2017-06-23	True
XS1432384409	2017-06-23	True
XS1432384664	2017-06-23	True
XS1505568136	2017-06-23	True
XS0740810881	2017-06-23	True
XS1043513529	2017-06-23	True
XS1183235644	2017-06-23	True
